gene_raw	rna_log2fc	rna_fdr	gene_name
MFSD4A	-5.265895033095624	0.0	MFSD4A
PVT1	4.671346923545422	5.430111968290691e-276	PVT1
SPAG4	4.101110572865823	4.911223493689127e-258	SPAG4
TTC21B-AS1	8.321743031408777	3.2142473498029538e-257	TTC21B-AS1
NDUFA4L2	5.797325099393833	1.961989997493258e-242	NDUFA4L2
ACP3	-5.596390284535299	2.4840624949807484e-237	ACP3
AP005432.2	-6.571765464142232	4.159287804540271e-233	AP005432.2
GABRD	5.254566853243287	3.391751610956251e-230	GABRD
EGLN3	4.243189105959117	1.741091058361622e-227	EGLN3
AC019080.1	-3.582937506006582	4.841323969221247e-226	AC019080.1
HILPDA	4.728445104869968	2.6879764109727194e-222	HILPDA
NOL3	3.4008101743642065	6.487562605664147e-216	NOL3
SCARB1	4.100475512291799	4.707092068125052e-210	SCARB1
LINC00887	5.546602791441834	1.17658814150605e-204	LINC00887
COL23A1	5.177426582507238	6.309463604777371e-202	COL23A1
AC083855.2	3.131352762001935	1.0074260082393962e-200	AC083855.2
CA9	6.051540532600979	2.3815996296554494e-200	CA9
HSF4	5.706766693054378	2.245109042713545e-196	HSF4
STC2	4.2466930439122335	2.245379411146948e-196	STC2
DDB2	2.025061206517756	3.8558426150940925e-196	DDB2
CDCA2	4.690917213565097	1.328376527493354e-193	CDCA2
LINC02348	6.210451776200023	6.506421815567221e-192	LINC02348
CDKN2A	4.948971148277143	3.4355757818440364e-189	CDKN2A
FECH	-1.996447857904986	5.8390957361844266e-189	FECH
FAM246C	6.341684216476071	7.626219974039318e-188	FAM246C
ANGPTL4	4.938603725830957	1.7698360842675013e-186	ANGPTL4
FABP6	6.45559244168071	1.0514077289469699e-185	FABP6
VEGFA	3.4823126486403417	9.3668200667799e-182	VEGFA
SAP30	2.472167991142799	8.897684772517757e-181	SAP30
TREM2	4.248064315783712	1.9219679073875541e-180	TREM2
SIGLEC8	5.063809025300825	5.921176991284528e-178	SIGLEC8
AL109615.2	6.540152595436418	1.1399654107038615e-175	AL109615.2
DOC2A	6.088661651204081	4.7224325455141685e-175	DOC2A
SEMA5B	3.881001512912334	9.116727796321903e-175	SEMA5B
ADGRF3	-3.59064336997406	3.0107476772800177e-172	ADGRF3
HIF1A-AS3	5.125238325683156	8.572731091005956e-172	HIF1A-AS3
NETO2	3.2874174150287345	4.018945300141618e-170	NETO2
FER1L4	5.54589860286646	1.3385387642627926e-169	FER1L4
ESRRB	-5.952943630329332	1.992066971864245e-169	ESRRB
TNFAIP6	5.665659455850441	4.024443307183153e-168	TNFAIP6
MYOCOS	5.621748734519854	1.2487775778293642e-166	MYOCOS
ST8SIA4	3.5277424730108984	3.7186364368888266e-165	ST8SIA4
DGCR5	4.19892874673528	5.791313328904308e-165	DGCR5
AL391845.2	5.152389834844164	3.4145311031198675e-163	AL391845.2
KCNJ10	-6.1745305811419495	2.4015504525200668e-160	KCNJ10
SLC16A3	2.9582984880313905	2.5222071203536517e-160	SLC16A3
COL5A3	3.554022983291504	3.538855869434303e-160	COL5A3
TMEM238L	-5.894013396331069	3.538855869434303e-160	TMEM238L
AL031726.1	-5.453791791684168	5.529265387688556e-159	AL031726.1
GPC5	-5.838858075384066	1.2256143026466775e-158	GPC5
NPTX2	6.974849902117919	1.5475674581915462e-158	NPTX2
GRIK3	5.005826079284467	5.4745725474119395e-158	GRIK3
AC079760.2	5.213146216320511	3.8868564327100646e-157	AC079760.2
APOC1	5.2333236728365735	4.962953655799365e-156	APOC1
MTURN	-3.0827591185576986	2.393939860001036e-155	MTURN
MYLK3	-3.979647386071338	3.0650483374549413e-155	MYLK3
LINC02048	5.315004056514531	3.6584164975954924e-154	LINC02048
VIM	2.6971108849598755	4.8344005890309555e-154	VIM
HSPA2	-3.901399795481673	9.71380324619444e-154	HSPA2
GAS6-AS1	4.543953497980501	2.6072602245348106e-153	GAS6-AS1
LILRB1	2.906366496110558	6.5770371047338765e-152	LILRB1
SAP30-DT	2.917100217027759	4.1215530899305925e-151	SAP30-DT
CALB1	-7.528430933959383	1.0013784226578765e-149	CALB1
DARS-AS1	3.24310050288964	2.764545440603296e-149	DARS-AS1
