peak_id	chrom	start	end	midpoint	gene_id	gene_name	gene_type	tss	distance_to_tss	abs_distance_to_tss	link_class	atac_delta	atac_fdr
chr3:106345213-106345712	chr3	106345213	106345712	106345462	ENSG00000244652	RP11-93B21.1	processed_pseudogene	106326293	19169	19169	proximal	3.3956168	2.670039772573851e-13
chr3:197317196-197317695	chr3	197317196	197317695	197317445	ENSG00000075711	DLG1	protein_coding	197299300	18145	18145	proximal	2.3583949	1.5077571589934657e-12
chr5:168472310-168472809	chr5	168472310	168472809	168472559	ENSG00000113643	RARS	protein_coding	168486445	-13886	13886	proximal	2.9986444	2.742839553207941e-12
chr20:2237055-2237554	chr20	2237055	2237554	2237304	ENSG00000226644	RP11-128M1.1	lincRNA	2207217	30087	30087	proximal	3.3860266	5.251332524676916e-12
chr2:3492868-3493367	chr2	3492868	3493367	3493117	ENSG00000271868	RP11-1293J14.1	lincRNA	3496956	-3839	3839	proximal	3.482662	9.993137013144996e-11
chr14:98957117-98957616	chr14	98957117	98957616	98957366	ENSG00000232573	RPL3P4	processed_pseudogene	98973301	-15935	15935	proximal	2.8433309	2.476551254502914e-10
chr2:28161476-28161975	chr2	28161476	28161975	28161725	ENSG00000277035	uc_338	misc_RNA	28134585	27140	27140	proximal	1.7808179	3.827366207493667e-09
chr15:75620684-75621183	chr15	75620684	75621183	75620933	ENSG00000260235	CTD-2026K11.3	antisense	75624793	-3860	3860	proximal	2.059968	4.0854900146665654e-09
chr12:75640961-75641460	chr12	75640961	75641460	75641210	ENSG00000257777	RP11-25J3.2	processed_pseudogene	75600047	41163	41163	proximal	2.3093615	4.474584093728433e-09
chr17:62824560-62825059	chr17	62824560	62825059	62824809	ENSG00000264907	SLMO2P3	processed_pseudogene	62841101	-16292	16292	proximal	3.087044	4.474584093728433e-09
chr2:53129834-53130333	chr2	53129834	53130333	53130083	ENSG00000228033	AC010967.2	lincRNA	52910020	220063	220063	distal_unlinked	2.8159108	6.968163271337296e-09
chr17:67531304-67531803	chr17	67531304	67531803	67531553	ENSG00000264754	CTD-2653B5.1	sense_intronic	67524481	7072	7072	proximal	-1.6278143	7.442292853837255e-09
chr20:40506456-40506955	chr20	40506456	40506955	40506705	ENSG00000221201	AL049691.1	miRNA	40372901	133804	133804	distal_unlinked	2.188398	7.478485983292203e-09
chr20:52922953-52923452	chr20	52922953	52923452	52923202	ENSG00000230636	RPL36P1	processed_pseudogene	52890162	33040	33040	proximal	2.4953194	7.998441006724699e-09
chr5:6868181-6868680	chr5	6868181	6868680	6868430	ENSG00000250060	RP11-332J15.2	lincRNA	6868559	-129	129	promoter	-2.6453123	9.322338851339904e-09
chr2:215680924-215681423	chr2	215680924	215681423	215681173	ENSG00000230838	AC093850.2	lincRNA	215718043	-36870	36870	proximal	2.4119337	1.993553412271893e-08
chr11:57426922-57427421	chr11	57426922	57427421	57427171	ENSG00000134802	SLC43A3	protein_coding	57427580	-409	409	promoter	1.7067709	2.023988016675432e-08
chr2:208529846-208530345	chr2	208529846	208530345	208530095	ENSG00000232409	AC019185.3	processed_pseudogene	208516908	13187	13187	proximal	-2.530858	2.023988016675432e-08
chr8:116350695-116351194	chr8	116350695	116351194	116350944	ENSG00000249917	LINC00536	lincRNA	116325059	25885	25885	proximal	2.2206314	2.683190843697605e-08
chr8:135228530-135229029	chr8	135228530	135229029	135228779	ENSG00000254083	RP11-452N4.1	lincRNA	135234131	-5352	5352	proximal	3.0582163	2.759209431140745e-08
chr12:1350234-1350733	chr12	1350234	1350733	1350483	ENSG00000267285	RP5-951N9.2	sense_intronic	1385833	-35350	35350	proximal	1.9655485	2.759209431140745e-08
chr13:27079542-27080041	chr13	27079542	27080041	27079791	ENSG00000278496	RP11-144H23.2	unprocessed_pseudogene	27077218	2573	2573	proximal	1.9138286	3.016733201446124e-08
chr5:135246863-135247362	chr5	135246863	135247362	135247112	ENSG00000249647	C5orf66-AS2	lincRNA	135248179	-1067	1067	promoter	2.6404622	3.016733201446124e-08
chr8:52764253-52764752	chr8	52764253	52764752	52764502	ENSG00000023287	RB1CC1	protein_coding	52745843	18659	18659	proximal	2.3006814	3.140684784011676e-08
chr4:183411516-183412015	chr4	183411516	183412015	183411765	ENSG00000248376	RP11-692E14.1	processed_pseudogene	183419805	-8040	8040	proximal	2.8950233	3.140684784011676e-08
chr8:38659953-38660452	chr8	38659953	38660452	38660202	ENSG00000254321	RP11-495O10.1	lincRNA	38704855	-44653	44653	proximal	2.4124494	3.140684784011676e-08
chr1:153375450-153375949	chr1	153375450	153375949	153375699	ENSG00000163221	S100A12	protein_coding	153375649	50	50	promoter	2.6717181	3.140684784011676e-08
chr5:113489208-113489707	chr5	113489208	113489707	113489457	ENSG00000171444	MCC	protein_coding	113488830	627	627	promoter	3.0136328	3.140684784011676e-08
chr8:96448850-96449349	chr8	96448850	96449349	96449099	ENSG00000202095	RNU6-1172P	snRNA	96431160	17939	17939	proximal	-1.7655234	3.4809867193741025e-08
chr13:110012018-110012517	chr13	110012018	110012517	110012267	ENSG00000276269	RP11-403A3.2	lincRNA	110031567	-19300	19300	proximal	3.0050533	3.6306313870929095e-08
chr17:50289955-50290454	chr17	50289955	50290454	50290204	ENSG00000251179	TMEM92-AS1	antisense	50287855	2349	2349	proximal	1.6599739	5.718633597369926e-08
chr8:142475477-142475976	chr8	142475477	142475976	142475726	ENSG00000181790	BAI1	protein_coding	142449430	26296	26296	proximal	1.9360332	5.718633597369926e-08
chr19:55080082-55080581	chr19	55080082	55080581	55080331	ENSG00000131037	EPS8L1	protein_coding	55072020	8311	8311	proximal	2.779056	6.16147407498981e-08
chr7:151822523-151823022	chr7	151822523	151823022	151822772	ENSG00000242048	RP13-452N2.1	processed_transcript	151806490	16282	16282	proximal	-1.9454136	7.085744514495413e-08
chr12:9673642-9674141	chr12	9673642	9674141	9673891	ENSG00000069493	CLEC2D	protein_coding	9664969	8922	8922	proximal	1.5926838	9.85205559749421e-08
chr7:47786494-47786993	chr7	47786494	47786993	47786743	ENSG00000136275	C7orf69	antisense	47795291	-8548	8548	proximal	1.5990233	9.85205559749421e-08
chr12:65532650-65533149	chr12	65532650	65533149	65532899	ENSG00000255866	RP11-221N13.2	lincRNA	65559591	-26692	26692	proximal	2.5040138	1.3139914792479605e-07
chr4:173494295-173494794	chr4	173494295	173494794	173494544	ENSG00000261646	RP11-489G11.3	lincRNA	173470041	24503	24503	proximal	1.3215947	1.4672736934799274e-07
chr3:141367123-141367622	chr3	141367123	141367622	141367372	ENSG00000249417	RP11-438D8.2	antisense	141367137	235	235	promoter	2.1558244	1.4672736934799274e-07
chr10:57696712-57697211	chr10	57696712	57697211	57696961	ENSG00000235810	RP11-550A9.1	processed_pseudogene	57513157	183804	183804	distal_unlinked	2.119462	1.4687710804053846e-07
chr11:8022243-8022742	chr11	8022243	8022742	8022492	ENSG00000166402	TUB	protein_coding	8019244	3248	3248	proximal	-2.6752331	1.492660517422218e-07
chr12:65631588-65632087	chr12	65631588	65632087	65631837	ENSG00000250748	RP11-230G5.2	lincRNA	65642372	-10535	10535	proximal	2.3813453	1.777731956994449e-07
chr9:127973440-127973939	chr9	127973440	127973939	127973689	ENSG00000167106	FAM102A	protein_coding	127980513	-6824	6824	proximal	-1.3827575	1.802077044240864e-07
chr12:99455315-99455814	chr12	99455315	99455814	99455564	ENSG00000180219	FAM71C	protein_coding	99647753	-192189	192189	distal_unlinked	2.2556558	1.802077044240864e-07
chr6:21946277-21946776	chr6	21946277	21946776	21946526	ENSG00000280443	RP4-551N11.1	TEC	21822536	123990	123990	distal_unlinked	2.7021816	1.9040839353695607e-07
chr16:2835657-2836156	chr16	2835657	2836156	2835906	ENSG00000162078	ZG16B	protein_coding	2830169	5737	5737	proximal	2.678572	1.916416970274185e-07
chr5:171367305-171367804	chr5	171367305	171367804	171367554	ENSG00000254012	RP11-546B8.5	processed_pseudogene	171366299	1255	1255	promoter	2.1616359	1.9757803016165653e-07
chr12:103780045-103780544	chr12	103780045	103780544	103780294	ENSG00000257681	RP11-341G23.4	antisense	103768858	11436	11436	proximal	1.5798984	1.99685089155945e-07
chr6:167667920-167668419	chr6	167667920	167668419	167668169	ENSG00000272549	RP11-351J23.2	lincRNA	167679270	-11101	11101	proximal	-2.6413364	1.99685089155945e-07
chr13:110017363-110017862	chr13	110017363	110017862	110017612	ENSG00000276269	RP11-403A3.2	lincRNA	110031567	-13955	13955	proximal	2.3303163	2.079420494604064e-07
chr8:116574725-116575224	chr8	116574725	116575224	116574974	ENSG00000253672	RP11-536K17.1	lincRNA	116403757	171217	171217	distal_unlinked	1.8642344	2.079420494604064e-07
chr9:113558954-113559453	chr9	113558954	113559453	113559203	ENSG00000237073	RP11-168K11.2	antisense	113590019	-30816	30816	proximal	-1.2479866	2.079420494604064e-07
chr10:117461715-117462214	chr10	117461715	117462214	117461964	ENSG00000258114	CTA-109P11.4	lincRNA	117425194	36770	36770	proximal	2.589311	2.1079018708240698e-07
chr8:101180904-101181403	chr8	101180904	101181403	101181153	ENSG00000261087	KB-1460A1.5	lincRNA	101169629	11524	11524	proximal	1.9159341	2.1079018708240698e-07
chr15:70795269-70795768	chr15	70795269	70795768	70795518	ENSG00000259452	RP11-138H8.4	processed_pseudogene	70791013	4505	4505	proximal	2.1367087	2.1545448972754518e-07
chr2:101989034-101989533	chr2	101989034	101989533	101989283	ENSG00000115590	IL1R2	protein_coding	101991844	-2561	2561	proximal	1.7910593	2.272758176779687e-07
chr22:18110115-18110614	chr22	18110115	18110614	18110364	ENSG00000183785	TUBA8	protein_coding	18110331	33	33	promoter	-1.524895	2.272758176779687e-07
chr2:47043522-47044021	chr2	47043522	47044021	47043771	ENSG00000233845	AC093732.1	antisense	47040524	3247	3247	proximal	1.8107785	2.5081994770433244e-07
chr7:98400940-98401439	chr7	98400940	98401439	98401189	ENSG00000006453	BAIAP2L1	protein_coding	98401068	121	121	promoter	1.7861836	2.533414078508915e-07
chr20:50335033-50335532	chr20	50335033	50335532	50335282	ENSG00000233077	LINC01271	lincRNA	50321342	13940	13940	proximal	1.7212842	2.533414078508915e-07
chr2:172329627-172330126	chr2	172329627	172330126	172329876	ENSG00000232555	AC104088.1	lincRNA	172315287	14589	14589	proximal	-1.8784544	2.544543241152925e-07
chr15:26686481-26686980	chr15	26686481	26686980	26686730	ENSG00000235518	AC011196.3	lincRNA	26658763	27967	27967	proximal	-2.5352628	2.5847996915745285e-07
chr21:34705046-34705545	chr21	34705046	34705545	34705295	ENSG00000230978	LINC00160	lincRNA	34737181	-31886	31886	proximal	2.2057133	2.6092603822151655e-07
chr12:91098842-91099341	chr12	91098842	91099341	91099091	ENSG00000139329	LUM	protein_coding	91111831	-12740	12740	proximal	2.2155383	2.6092603822151655e-07
chr11:26947494-26947993	chr11	26947494	26947993	26947743	ENSG00000176971	FIBIN	protein_coding	26994184	-46441	46441	proximal	2.121389	2.6092603822151655e-07
chr11:115941368-115941867	chr11	115941368	115941867	115941617	ENSG00000281717	AP000797.5	miRNA	115938824	2793	2793	proximal	2.9566567	2.6092603822151655e-07
chr2:230793931-230794430	chr2	230793931	230794430	230794180	ENSG00000201044	RNU6-268P	snRNA	230752141	42039	42039	proximal	1.5554702	2.674555297628549e-07
chr19:7871890-7872389	chr19	7871890	7872389	7872139	ENSG00000268120	CTD-3193O13.11	lincRNA	7870561	1578	1578	promoter	2.7307353	2.8721987424173e-07
chr4:173491080-173491579	chr4	173491080	173491579	173491329	ENSG00000261646	RP11-489G11.3	lincRNA	173470041	21288	21288	proximal	1.8974488	3.203638465006297e-07
chr2:191486864-191487363	chr2	191486864	191487363	191487113	ENSG00000275235	AC068056.1	miRNA	191451092	36021	36021	proximal	1.4304624	3.203638465006297e-07
chr19:47428145-47428644	chr19	47428145	47428644	47428394	ENSG00000105419	MEIS3	protein_coding	47419523	8871	8871	proximal	2.4544773	3.359753753193196e-07
chr19:47075894-47076393	chr19	47075894	47076393	47076143	ENSG00000130748	TMEM160	protein_coding	47048630	27513	27513	proximal	-2.1411366	3.359753753193196e-07
chr2:130727463-130727962	chr2	130727463	130727962	130727712	ENSG00000173302	GPR148	protein_coding	130729070	-1358	1358	promoter	2.37411	3.4186120033134095e-07
chr12:99911026-99911525	chr12	99911026	99911525	99911275	ENSG00000277393	AC078916.1	miRNA	99884046	27229	27229	proximal	2.754483	3.4790918050845814e-07
chr7:130356227-130356726	chr7	130356227	130356726	130356476	ENSG00000158525	CPA5	protein_coding	130344816	11660	11660	proximal	2.395334	3.4790918050845814e-07
chr5:116491940-116492439	chr5	116491940	116492439	116492189	ENSG00000248445	SEMA6A-AS1	antisense	116447547	44642	44642	proximal	1.8752482	3.560854029481188e-07
chr10:133159780-133160279	chr10	133159780	133160279	133160029	ENSG00000171798	KNDC1	protein_coding	133160447	-418	418	promoter	2.6065373	3.560854029481188e-07
chr6:80128385-80128884	chr6	80128385	80128884	80128634	ENSG00000083123	BCKDHB	protein_coding	80106647	21987	21987	proximal	1.7910321	3.5792559558128053e-07
chr14:90510100-90510599	chr14	90510100	90510599	90510349	ENSG00000259789	RP11-1078H9.6	lincRNA	90491637	18712	18712	proximal	-2.5227818	3.655247028237048e-07
chr6:52424060-52424559	chr6	52424060	52424559	52424309	ENSG00000096093	EFHC1	protein_coding	52420308	4001	4001	proximal	1.9740491	3.655247028237048e-07
chr1:202235784-202236283	chr1	202235784	202236283	202236033	ENSG00000133067	LGR6	protein_coding	202193901	42132	42132	proximal	2.1772308	3.655247028237048e-07
chr17:19720808-19721307	chr17	19720808	19721307	19721057	ENSG00000262681	RP11-311F12.1	lincRNA	19719059	1998	1998	promoter	-1.9286458	3.655247028237048e-07
chr12:104177541-104178040	chr12	104177541	104178040	104177790	ENSG00000257193	RP11-818F20.4	lincRNA	104170395	7395	7395	proximal	2.3647797	3.655247028237048e-07
chr12:123089606-123090105	chr12	123089606	123090105	123089855	ENSG00000280381	RP11-197N18.8	TEC	123092821	-2966	2966	proximal	2.2656598	3.655247028237048e-07
chr15:40289338-40289837	chr15	40289338	40289837	40289587	ENSG00000273855	RP11-133K1.12	sense_intronic	40285909	3678	3678	proximal	-1.626783	3.715962841034567e-07
chr21:43928254-43928753	chr21	43928254	43928753	43928503	ENSG00000199598	RNU6-859P	snRNA	43919901	8602	8602	proximal	-2.1952376	3.743840177100869e-07
chr17:42900299-42900798	chr17	42900299	42900798	42900548	ENSG00000131482	G6PC	protein_coding	42900797	-249	249	promoter	-1.6923072	3.9390774518731973e-07
chr19:15123862-15124361	chr19	15123862	15124361	15124111	ENSG00000268564	AC003956.1	antisense	15124160	-49	49	promoter	-1.4910958	4.243824790962649e-07
chr16:66618510-66619009	chr16	66618510	66619009	66618759	ENSG00000140931	CMTM3	protein_coding	66603874	14885	14885	proximal	2.2591248	4.376458287749917e-07
chr7:130357023-130357522	chr7	130357023	130357522	130357272	ENSG00000158525	CPA5	protein_coding	130344816	12456	12456	proximal	1.921757	4.376458287749917e-07
chr20:50333753-50334252	chr20	50333753	50334252	50334002	ENSG00000233077	LINC01271	lincRNA	50321342	12660	12660	proximal	2.1941285	4.376458287749917e-07
chr12:6372368-6372867	chr12	6372368	6372867	6372617	ENSG00000111321	LTBR	protein_coding	6375045	-2428	2428	proximal	1.3999903	4.4530592371980245e-07
chr11:57434538-57435037	chr11	57434538	57435037	57434787	ENSG00000134802	SLC43A3	protein_coding	57427580	7207	7207	proximal	1.9438119	4.741493199084006e-07
chr15:78934164-78934663	chr15	78934164	78934663	78934413	ENSG00000103811	CTSH	protein_coding	78949574	-15161	15161	proximal	-1.7177753	4.882930414856305e-07
chr5:159341780-159342279	chr5	159341780	159342279	159342029	ENSG00000113302	IL12B	protein_coding	159330887	11142	11142	proximal	1.2780658	4.882930414856305e-07
chr1:23377303-23377802	chr1	23377303	23377802	23377552	ENSG00000271420	RP5-1057J7.7	lincRNA	23379029	-1477	1477	promoter	1.5456815	4.938074854956383e-07
chr1:214427821-214428320	chr1	214427821	214428320	214428070	ENSG00000213036	RP11-365D23.4	processed_pseudogene	214483387	-55317	55317	distal_unlinked	2.1528645	4.938074854956383e-07
chr12:99157878-99158377	chr12	99157878	99158377	99158127	ENSG00000258039	RP11-406H4.1	antisense	99093359	64768	64768	distal_unlinked	2.0743146	5.129324809998236e-07
chr21:45525208-45525707	chr21	45525208	45525707	45525457	ENSG00000173638	SLC19A1	protein_coding	45544411	-18954	18954	proximal	-2.080585	5.129324809998236e-07
chr1:48026243-48026742	chr1	48026243	48026742	48026492	ENSG00000226133	RP4-683M8.2	lincRNA	48053545	-27053	27053	proximal	2.2965746	5.129324809998236e-07
chr17:4575667-4576166	chr17	4575667	4576166	4575916	ENSG00000262519	TXNP4	processed_pseudogene	4572206	3710	3710	proximal	-2.303397	5.232809225278047e-07
chr17:62778932-62779431	chr17	62778932	62779431	62779181	ENSG00000173838	MARCH10	protein_coding	62808344	-29163	29163	proximal	2.4558852	5.232809225278047e-07
chr6:136351676-136352175	chr6	136351676	136352175	136351925	ENSG00000276943	AL023284.1	miRNA	136343249	8676	8676	proximal	-2.5628943	5.325774656566926e-07
chr5:71601597-71602096	chr5	71601597	71602096	71601846	ENSG00000280673	AC143336.1	miRNA	71615084	-13238	13238	proximal	1.6788625	5.370793251648803e-07
chr2:9819990-9820489	chr2	9819990	9820489	9820239	ENSG00000115750	TAF1B	protein_coding	9843354	-23115	23115	proximal	3.3222368	5.480990313000422e-07
chr4:184810656-184811155	chr4	184810656	184811155	184810905	ENSG00000251139	RP11-701P16.2	antisense	184813619	-2714	2714	proximal	-1.747338	5.57915912855623e-07
chr19:7871231-7871730	chr19	7871231	7871730	7871480	ENSG00000268120	CTD-3193O13.11	lincRNA	7870561	919	919	promoter	2.4449499	5.845679163260817e-07
chr7:120052941-120053440	chr7	120052941	120053440	120053190	ENSG00000276899	AC004915.1	miRNA	120009701	43489	43489	proximal	2.827959	6.122315891904729e-07
chr9:137007697-137008196	chr9	137007697	137008196	137007946	ENSG00000169583	CLIC3	protein_coding	136996803	11143	11143	proximal	-2.3768542	6.209238261198094e-07
