gene_raw	rna_log2fc	rna_fdr	gene_name	peak_id	chrom	start	end	midpoint	gene_id	gene_type	tss	distance_to_tss	abs_distance_to_tss	link_class	atac_delta	atac_fdr	abs_atac_delta	atac_strength	rna_strength	combined_evidence_score
CPNE6	-6.5867150342114105	1.4767004454218917e-101	CPNE6	chr14:24061406-24061905	chr14	24061406	24061905	24061655	ENSG00000100884	protein_coding	24070837	-9182	9182	proximal	-1.9361517	2.2008727602713947e-06	1.9361517	7.593556764720322	107.41742262833381	115.01097939305413
PRKAR2B	-2.245562969851149	9.235471720934804e-99	PRKAR2B	chr7:107044417-107044916	chr7	107044417	107044916	107044666	ENSG00000005249	protein_coding	107044649	17	17	promoter	1.1485	1.26761832321748e-05	1.1485	6.045511491779995	100.28010388701404	106.32561537879403
CLEC2D	2.613226314669781	4.575910305896547e-92	CLEC2D	chr12:9673642-9674141	chr12	9673642	9674141	9673891	ENSG00000069493	protein_coding	9664969	8922	8922	proximal	1.5926838	9.85205559749421e-08	1.5926838	8.59915694599891	93.95274881156749	102.5519057575664
KIF18B	3.244154320500529	1.342712159875258e-81	KIF18B	chr17:44941588-44942087	chr17	44941588	44942087	44941837	ENSG00000186185	protein_coding	44947711	-5874	5874	proximal	1.827314	1.4198079644358756e-05	1.827314	6.675084391973064	84.11617139850638	90.79125579047944
EHF	-5.191193674979915	2.4715113284573767e-76	EHF	chr11:34653965-34654464	chr11	34653965	34654464	34654214	ENSG00000135373	protein_coding	34621093	33121	33121	proximal	2.8114097	3.2327565665503266e-06	2.8114097	8.301836697455979	80.79823106953968	89.10006776699566
SLC47A2	-3.930152742190161	1.3644425049275612e-67	SLC47A2	chr17:19716441-19716940	chr17	19716441	19716940	19716690	ENSG00000180638	protein_coding	19718979	-2289	2289	proximal	-1.8884451	3.307478276049762e-06	1.8884451	7.368948099634096	70.79519750216136	78.16414560179545
TGFBI	4.130661386722985	1.513199664807961e-63	TGFBI	chr5:136032476-136032975	chr5	136032476	136032975	136032725	ENSG00000120708	protein_coding	136028895	3830	3830	proximal	2.036682	8.315579293165827e-07	2.036682	8.116789490874769	66.95076515030375	75.06755464117852
APOL5	3.998349228574203	8.996988096408758e-58	APOL5	chr22:35749768-35750267	chr22	35749768	35750267	35750017	ENSG00000128313	protein_coding	35717872	32145	32145	proximal	2.4184139	2.1062262448471564e-06	2.4184139	8.094908879963803	61.04425208269404	69.13916096265784
TBX15	3.054893907375833	3.696958856242922e-59	TBX15	chr1:118959980-118960479	chr1	118959980	118960479	118960229	ENSG00000092607	protein_coding	118989556	-29327	29327	proximal	1.8943886	1.4453785540046326e-05	1.8943886	6.734406993471994	61.487049290074594	68.22145628354659
FBP1	-2.413003594398315	1.5572613676788134e-51	FBP1	chr9:94666389-94666888	chr9	94666389	94666888	94666638	ENSG00000165140	protein_coding	94640249	26389	26389	proximal	-1.97088	3.884518763125344e-06	1.97088	7.381542776467854	53.22064208458264	60.602184861050496
SLC9A4	-6.155671384952337	1.1476632248476427e-47	SLC9A4	chr2:102488135-102488634	chr2	102488135	102488634	102488384	ENSG00000180251	protein_coding	102473303	15081	15081	proximal	2.0771894	9.491838664337688e-06	2.0771894	7.09983905222707	53.095856919405826	60.195695971632894
